Asset_Name,Sector,Price,Expected_Return,Risk,Liquidity,ESG_Score,Market_Cap,Region,Dividend_Yield,Beta,Bull_Return_Adjustment,Bear_Return_Adjustment,Volatility_Shock
Apple Inc,Technology,186.55,14.03,0.211,0.96,74,Large,US,0.43,1.22,17.38,4.3,0.282
Microsoft Corp,Technology,368.98,16.3,0.202,0.99,83,Large,US,0.73,0.87,20.34,4.91,0.328
NVIDIA Corp,Technology,485.71,28.34,0.366,0.98,67,Large,US,0.0,1.64,34.06,10.0,0.482
Alphabet Inc,Technology,139.66,15.42,0.257,0.94,73,Large,US,0.1,1.06,20.08,6.8,0.339
Meta Platforms,Technology,314.78,18.19,0.283,0.94,52,Large,US,0.0,1.3,23.59,6.75,0.444
Amazon.com Inc,Technology,177.12,17.78,0.263,0.98,63,Large,US,0.07,1.12,21.44,7.61,0.4
Salesforce Inc,Technology,232.55,14.54,0.271,0.92,74,Large,US,0.09,1.09,16.62,6.01,0.43
Adobe Inc,Technology,501.21,13.8,0.265,0.93,68,Large,US,0.0,1.02,17.14,5.75,0.44
Intel Corp,Technology,41.75,8.22,0.3,0.94,62,Large,US,1.58,0.84,9.54,3.58,0.462
Qualcomm Inc,Technology,153.93,12.5,0.269,0.92,67,Large,US,2.21,1.2,15.93,5.09,0.378
Twilio Inc,Technology,65.55,13.61,0.417,0.82,62,Mid,US,0.11,1.38,16.74,6.57,0.687
Cloudflare Inc,Technology,79.03,18.64,0.444,0.82,67,Mid,US,0.0,1.5,24.5,7.82,0.664
Datadog Inc,Technology,112.32,16.06,0.419,0.82,60,Mid,US,0.0,1.39,21.19,6.38,0.556
Palantir Technologies,Technology,22.34,20.27,0.485,0.78,46,Mid,US,0.0,1.55,25.36,9.85,0.777
Snowflake Inc,Technology,171.94,15.71,0.426,0.81,57,Mid,US,0.0,1.38,18.13,5.78,0.654
Johnson & Johnson,Healthcare,152.49,8.92,0.143,0.97,76,Large,US,2.97,0.57,9.96,5.16,0.202
UnitedHealth Group,Healthcare,509.55,11.54,0.189,0.97,71,Large,US,1.39,0.75,13.98,5.74,0.253
Pfizer Inc,Healthcare,27.88,7.72,0.199,0.95,78,Large,US,6.25,0.59,8.2,4.88,0.322
Abbott Laboratories,Healthcare,105.47,9.89,0.171,0.92,78,Large,US,1.88,0.69,12.21,5.55,0.281
Eli Lilly & Co,Healthcare,591.78,18.05,0.26,0.95,71,Large,US,1.08,0.45,19.55,10.31,0.36
Merck & Co,Healthcare,117.3,8.46,0.155,0.96,71,Large,US,2.88,0.41,9.37,5.28,0.247
